"","county","inflow","year"
"615","Otero",752,2005
"616","Ouray",306,2005
"617","Park",1315,2005
"618","Phillips",204,2005
"619","Pitkin",1158,2005
"620","Prowers",485,2005
"621","Pueblo",5561,2005
"622","Rio Blanco",439,2005
"623","Rio Grande",738,2005
"624","Routt",1452,2005
"625","Saguache",258,2005
"626","San Juan",49,2005
"627","San Miguel",517,2005
"628","Sedgwick",107,2005
"629","Summit",2128,2005
"630","Teller",2118,2005
"631","Washington",219,2005
"632","Weld",15791,2005
"633","Yuma",487,2005
"634","Adams",33415,2006
"635","Alamosa",849,2006
"636","Arapahoe",42358,2006
"637","Archuleta",960,2006
"638","Bacao",136,2006
"639","Bento",240,2006
"640","Boulder",16870,2006
"641","Broomfield",6112,2006
"642","Chaffee",1077,2006
"643","Cheyenne",89,2006
"644","Clear Creek",647,2006
"645","Conejos",318,2006
"646","Costilla",167,2006
"647","Crowley",222,2006
"648","Custer",313,2006
"649","Delta",1791,2006
"650","Denver",44666,2006
"651","Dolores",202,2006
"652","Douglas",26286,2006
"653","Eagle",3367,2006
"654","Elbert",1723,2006
"655","El Paso",40700,2006
"656","Fremont",2254,2006
"657","Garfield",3733,2006
"658","Gilpin",414,2006
"659","Grand",1067,2006
"660","Gunnison",1048,2006
"661","Hinsdale",66,2006
"662","Huerfano",438,2006
"663","Jackson",90,2006
"664","Jefferson",33512,2006
"665","Kiowa",76,2006
"666","Kit Carson",316,2006
"667","Lakeo",458,2006
"668","La Plata",2991,2006
"669","Larimer",16162,2006
"670","Las Animas",844,2006
"671","Lincoln",244,2006
"672","Logan",946,2006
"673","Mesao",8210,2006
"674","Mineral",43,2006
"675","Moffat",931,2006
"676","Montezuma",1546,2006
"677","Montrose",2491,2006
"678","Morgan",1227,2006
"679","Otero",780,2006
"680","Ouray",310,2006
"681","Parko",1275,2006
"682","Phillips",200,2006
"683","Pitkin",1060,2006
"684","Prowers",492,2006
"685","Pueblo",5995,2006
"686","Rio Blanco",539,2006
"687","Rio Grande",614,2006
"688","Routt",1435,2006
"689","Saguache",164,2006
"690","San Juan",59,2006
"691","San Miguel",463,2006
"692","Sedgwick",103,2006
"693","Summit",2314,2006
"694","Teller",2027,2006
"695","Washington",268,2006
"696","Weldo",15846,2006
"697","Yumao",497,2006
"698","Adams",32524,2007
"699","Alamosa",923,2007
"700","Arapahoe",42300,2007
"701","Archuleta",833,2007
"702","Baca",156,2007
"703","Bent",151,2007
"704","Boulder",16780,2007
"705","Broomfield",6369,2007
"706","Chaffee",1143,2007
"707","Cheyenne",75,2007
"708","Clear Creek",678,2007
"709","Conejos",292,2007
"710","Costilla",165,2007
"711","Crowley",193,2007
"712","Custer",370,2007
"713","Delta",1664,2007
"714","Denver",45183,2007
"715","Dolores",145,2007
"716","Douglas",24254,2007
"717","Eagle",3629,2007
"718","Elbert",1440,2007
"719","El Paso",37569,2007
"720","Fremont",2057,2007
"721","Garfield",3762,2007
"722","Gilpin",441,2007
"723","Grand",1005,2007
"724","Gunnison",1036,2007
"725","Hinsdale",65,2007
"726","Huerfano",363,2007
"727","Jackson",94,2007
"728","Jefferson",32645,2007
"729","Kiowa",73,2007
"730","Kit Carson",304,2007
"731","Lake",489,2007
"732","La Plata",2835,2007
"733","Larimer",16094,2007
"734","Las Animas",797,2007
"735","Lincoln",267,2007
"736","Logan",851,2007
"737","Mesa",8327,2007
"738","Mineral",50,2007
"739","Moffat",934,2007
"740","Montezuma",1401,2007
"741","Montrose",2626,2007
"742","Morgan",1107,2007
"743","Otero",741,2007
"744","Ouray",402,2007
"745","Park",1281,2007
"746","Phillips",188,2007
"747","Pitkin",1086,2007
"748","Prowers",467,2007
"749","Pueblo",6504,2007
"750","Rio Blanco",541,2007
"751","Rio Grande",650,2007
"752","Routt",1593,2007
"753","Saguache",240,2007
"754","San Juan",39,2007
"755","San Miguel",567,2007
"756","Sedgwick",105,2007
"757","Summit",2297,2007
"758","Teller",1918,2007
"759","Washington",235,2007
"760","Weld",15353,2007
"761","Yuma",506,2007
"762","Adams",34786,2008
"763","Alamosa",959,2008
"764","Arapahoe",44952,2008
"765","Archuleta",697,2008
"766","Baca",168,2008
"767","Bent",230,2008
"768","Boulder",17236,2008
"769","Broomfield",9652,2008
"770","Chaffee",1100,2008
"771","Cheyenne",129,2008
"772","Clear Creek",636,2008
"773","Conejos",321,2008
"774","Costilla",155,2008
"775","Crowley",209,2008
"776","Custer",287,2008
"777","Delta",1759,2008
"778","Denver",50477,2008
"779","Dolores",139,2008
"780","Douglas",23577,2008
"781","Eagle",3665,2008
"782","Elbert",1701,2008
"783","El Paso",39312,2008
"784","Fremont",2088,2008
"785","Garfield",4303,2008
"786","Gilpin",382,2008
"787","Grand",1006,2008
"788","Gunnison",987,2008
"789","Hinsdale",54,2008
"790","Huerfano",437,2008
"791","Jackson",109,2008
"792","Jefferson",32452,2008
"793","Kiowa",52,2008
"794","Kit Carson",319,2008
"795","Lake",512,2008
"796","La Plata",2933,2008
"797","Larimer",16768,2008
"798","Las Animas",797,2008
"799","Lincoln",276,2008
"800","Logan",926,2008
"801","Mesa",8571,2008
"802","Mineral",60,2008
"803","Moffat",874,2008
"804","Montezuma",1425,2008
"805","Montrose",2465,2008
"806","Morgan",1292,2008
"807","Otero",811,2008
"808","Ouray",405,2008
"809","Park",1162,2008
"810","Phillips",232,2008
"811","Pitkin",1231,2008
"812","Prowers",577,2008
"813","Pueblo",6066,2008
"814","Rio Blanco",606,2008
"815","Rio Grande",787,2008
"816","Routt",1757,2008
"817","Saguache",262,2008
"818","San Juan",46,2008
"819","San Miguel",481,2008
"820","Sedgwick",148,2008
"821","Summit",2345,2008
"822","Teller",1736,2008
"823","Washington",239,2008
"824","Weld",15958,2008
"825","Yuma",521,2008
"826","Adams",34334,2010
"827","Alamosa",932,2010
"828","Arapahoe",45258,2010
"829","Archuleta",558,2010
"830","Baca",173,2010
"831","Bent",238,2010
"832","Boulder",15530,2010
"833","Broomfield",8923,2010
"834","Chaffee",847,2010
"835","Cheyenne",102,2010
"836","Clear Creek",580,2010
"837","Conejos",344,2010
"838","Costilla",209,2010
"839","Crowley",215,2010
"840","Custer",303,2010
"841","Delta",1303,2010
"842","Denver",52959,2010
"843","Dolores",67,2010
"844","Douglas",19984,2010
"845","Eagle",2961,2010
"846","Elbert",1425,2010
"847","El Paso",46568,2010
"848","Fremont",1886,2010
"849","Garfield",2722,2010
"850","Gilpin",462,2010
"851","Grand",794,2010
"852","Gunnison",820,2010
"853","Hinsdale",45,2010
"854","Huerfano",322,2010
"855","Jackson",65,2010
"856","Jefferson",31193,2010
"857","Kiowa",88,2010
"858","Kit Carson",346,2010
"859","Lake",365,2010
"860","La Plata",2420,2010
"861","Larimer",14757,2010
"862","Las Animas",567,2010
"863","Lincoln",268,2010
"864","Logan",798,2010
"865","Mesa",5507,2010
"866","Mineral",38,2010
"867","Moffat",733,2010
"868","Montezuma",1188,2010
"869","Montrose",1766,2010
"870","Morgan",1230,2010
"871","Otero",751,2010
"872","Ouray",334,2010
"873","Park",1073,2010
"874","Phillips",237,2010
"875","Pitkin",1055,2010
"876","Prowers",553,2010
"877","Pueblo",5425,2010
"878","Rio Blanco",427,2010
"879","Rio Grande",694,2010
"880","Routt",1237,2010
"881","Saguache",208,2010
"882","San Juan",71,2010
"883","San Miguel",461,2010
"884","Sedgwick",130,2010
"885","Summit",2177,2010
"886","Teller",1751,2010
"887","Washington",238,2010
"888","Weld",14885,2010
"889","Yuma",480,2010
"890","Adams",33710,2011
"891","Alamosa",860,2011
"892","Arapahoe",45351,2011
"893","Archuleta",604,2011
"894","Baca",131,2011
"895","Bent",194,2011
"896","Boulder",16308,2011
"897","Broomfield",9378,2011
"898","Chaffee",968,2011
"899","Cheyenne",142,2011
"900","Clear Creek",588,2011
"901","Conejos",302,2011
"902","Costilla",217,2011
"903","Crowley",209,2011
"904","Custer",253,2011
"905","Delta",1188,2011
"906","Denver",54374,2011
"907","Dolores",99,2011
"908","Douglas",20324,2011
"909","Eagle",2851,2011
